feature,importance
rsi_30,186
timestamp,125
vwap_dist_rolling_50,124
donchian_100_price,113
vwap_dist_rolling_20,82
donchian_100,81
atr_5_price,78
mfi_6,76
atr_30_price,63
mfi_6_delta,58
mfi_21,53
donchian_10,52
mfi_21_delta,46
donchian_50,46
rsi_14,45
donchian_10_price,42
rsi_6_delta,40
donchian_50_price,40
rsi_14_delta,39
stoch_k14_d5_k_minus_d,39
bb_10_1.5_bandwidth,38
rsi_21,37
stoch_k9_d5_k_delta,36
atr_14_price,33
bb_30_1.5_bandwidth,33
rsi_9_delta,32
mfi_14_delta,32
atr_21_price,31
donchian_30,30
stoch_k21_d5_k_delta,29
stoch_k14_d5_k_delta,29
rsi_6,29
rsi_9,29
donchian_20,28
mfi_14,28
atr_5,28
stoch_k9_d3_k,28
rsi_30_delta,27
stoch_k14_d3_k_minus_d,27
atr_21,26
atr_30,25
stoch_k21_d3_k_delta,25
bb_20_1.5_bandwidth,25
atr_10_price,23
stoch_k9_d5_k,23
stoch_k21_d5_k_minus_d,21
stoch_k14_d3_k,21
stoch_k9_d3_k_delta,21
rsi_21_delta,20
stoch_k21_d3_k_minus_d,20
macd_fast12_slow35_signal9_hist_lag1,20
donchian_20_price,20
atr_10,18
donchian_30_price,18
stoch_k14_d3_k_delta,17
stoch_k9_d5_k_minus_d,17
stoch_k9_d3_k_lag1,17
stoch_k9_d3_k_minus_d,16
stoch_k21_d3_k_lag1,15
stoch_k9_d5_d_lag1,14
stoch_k21_d5_d_lag1,14
stoch_k21_d3_k,13
stoch_k9_d5_d,12
stoch_k14_d5_d_lag1,11
stoch_k21_d3_d_lag1,11
macd_fast6_slow10_signal5_hist_lag1,11
macd_fast3_slow26_signal3_hist_lag1,10
stoch_k9_d3_d_lag1,10
stoch_k14_d5_d,10
macd_fast3_slow35_signal3_hist_lag1,10
macd_fast3_slow10_signal3_hist_lag1,9
macd_fast8_slow13_signal9_hist_lag1,9
macd_fast8_slow10_signal9_hist_delta,9
stoch_k9_d3_d,9
stoch_k21_d3_d,9
stoch_k9_d5_k_lag1,9
stoch_k14_d5_k,8
stoch_k14_d3_d_lag1,8
macd_fast3_slow10_signal3_hist_delta,8
macd_fast10_slow13_signal9_hist_lag1,8
macd_fast3_slow10_signal5_hist_delta,8
macd_fast5_slow21_signal5_hist_lag1,8
macd_fast3_slow13_signal3_hist_lag1,7
macd_fast6_slow10_signal5_hist_delta,7
macd_fast3_slow13_signal3_hist_delta,7
macd_fast3_slow35_signal3_hist_delta,7
macd_fast3_slow13_signal5_hist_lag1,7
bb_10_1.5_zscore,7
macd_fast12_slow35_signal9_hist_delta,7
stoch_k14_d3_d,7
stoch_k14_d5_k_lag1,6
macd_fast8_slow35_signal9_hist_lag1,6
macd_fast3_slow10_signal9_hist_lag1,6
macd_fast8_slow10_signal9_hist_lag1,6
atr_14,6
bb_20_1.5_zscore,5
stoch_k14_d3_k_lag1,5
macd_fast3_slow26_signal3_hist_delta,5
macd_fast8_slow13_signal9_hist_delta,5
stoch_k21_d5_k_lag1,5
macd_fast12_slow26_signal9_hist_delta,5
bb_30_1.5_zscore,5
macd_fast12_slow35_signal5_hist_delta,5
macd_fast3_slow21_signal3_hist_lag1,5
macd_fast10_slow35_signal9_hist_lag1,5
macd_fast8_slow35_signal9_hist_delta,4
macd_fast3_slow10_signal5_hist_lag1,4
macd_fast5_slow10_signal5_hist_lag1,4
macd_fast5_slow10_signal9_hist_delta,4
macd_fast12_slow21_signal9_hist_delta,4
macd_fast10_slow35_signal9_hist_delta,4
macd_fast5_slow10_signal9_hist_lag1,4
macd_fast10_slow26_signal9_hist_lag1,4
macd_fast10_slow35_signal5_hist_delta,4
macd_fast12_slow21_signal9_hist_lag1,4
macd_fast5_slow35_signal3_hist_delta,4
macd_fast12_slow26_signal9_hist_lag1,4
macd_fast12_slow35_signal3_hist_delta,4
macd_fast6_slow35_signal9_hist_delta,4
macd_fast6_slow35_signal9_hist_lag1,4
macd_fast6_slow35_signal5_hist_lag1,4
macd_fast6_slow35_signal3_hist_lag1,4
macd_fast12_slow35_signal5_hist_lag1,4
macd_fast6_slow13_signal5_hist_lag1,4
macd_fast5_slow21_signal9_hist_lag1,4
macd_fast6_slow10_signal9_hist_lag1,4
macd_fast10_slow35_signal3_hist_delta,4
macd_fast12_slow26_signal3_hist_lag1,3
macd_fast5_slow35_signal9_hist_delta,3
macd_fast12_slow35_signal3_hist_lag1,3
stoch_k21_d5_d,3
macd_fast5_slow21_signal9_hist_delta,3
macd_fast10_slow35_signal3_hist_lag1,3
macd_fast8_slow10_signal3_hist_lag1,3
macd_fast10_slow26_signal5_hist_lag1,3
macd_fast6_slow13_signal3_hist_lag1,3
macd_fast5_slow10_signal3_hist_delta,3
macd_fast6_slow13_signal9_hist_lag1,3
macd_fast3_slow13_signal5_hist_delta,3
macd_fast3_slow35_signal9_hist_lag1,3
macd_fast8_slow26_signal5_hist_lag1,3
macd_fast3_slow35_signal5_hist_lag1,3
macd_fast8_slow21_signal9_hist_delta,3
macd_fast3_slow26_signal5_hist_delta,3
macd_fast3_slow21_signal9_hist_delta,3
macd_fast3_slow21_signal5_hist_delta,3
macd_fast6_slow26_signal9_hist_delta,3
macd_fast3_slow21_signal3_hist_delta,2
macd_fast5_slow13_signal5_hist_delta,2
macd_fast3_slow21_signal5_hist_lag1,2
bb_20_2.0_bandwidth,2
macd_fast5_slow13_signal5_hist_lag1,2
macd_fast5_slow13_signal3_hist_lag1,2
macd_fast5_slow10_signal5_hist_delta,2
macd_fast5_slow35_signal9_hist_lag1,2
macd_fast8_slow10_signal3_hist_delta,2
macd_fast6_slow26_signal5_hist_delta,2
macd_fast8_slow13_signal5_hist_lag1,2
macd_fast6_slow10_signal3_hist_lag1,2
macd_fast8_slow35_signal3_hist_lag1,2
macd_fast12_slow26_signal5_hist_delta,2
macd_fast5_slow35_signal5_hist_delta,2
macd_fast12_slow21_signal5_hist_delta,2
macd_fast6_slow13_signal3_hist_delta,2
macd_fast6_slow26_signal3_hist_delta,2
macd_fast8_slow10_signal5_hist_delta,2
macd_fast10_slow26_signal9_hist_delta,2
macd_fast10_slow21_signal9_hist_delta,2
macd_fast3_slow26_signal9_hist_delta,1
macd_fast3_slow26_signal9_hist_lag1,1
macd_fast8_slow21_signal3_hist_delta,1
macd_fast5_slow35_signal3_hist_lag1,1
macd_fast5_slow26_signal3_hist_lag1,1
macd_fast8_slow13_signal3_hist_delta,1
macd_fast3_slow21_signal9_hist_lag1,1
macd_fast8_slow21_signal9_hist_lag1,1
macd_fast6_slow21_signal9_hist_delta,1
macd_fast6_slow13_signal9_hist_delta,1
macd_fast6_slow10_signal9_hist_delta,1
macd_fast6_slow10_signal3_hist_delta,1
macd_fast8_slow21_signal5_hist_delta,1
macd_fast8_slow26_signal9_hist_lag1,1
macd_fast8_slow26_signal3_hist_delta,1
macd_fast10_slow13_signal5_hist_lag1,1
macd_fast10_slow21_signal9_hist_lag1,1
macd_fast12_slow26_signal5_hist_lag1,1
macd_fast10_slow26_signal5_hist_delta,1
macd_fast12_slow21_signal5_hist_lag1,1
macd_fast12_slow21_signal3_hist_delta,1
bb_10_2.0_bandwidth,1
macd_fast5_slow26_signal5_hist_delta,1
macd_fast12_slow21_signal3_hist_lag1,1
macd_fast3_slow13_signal9_hist_lag1,0
stoch_k21_d5_k,0
macd_fast5_slow21_signal5_hist_delta,0
bb_10_2.5_bandwidth,0
macd_fast5_slow35_signal5_hist_lag1,0
bb_10_2.5_zscore,0
macd_fast10_slow35_signal5_hist_lag1,0
bb_20_2.0_zscore,0
bb_20_2.5_bandwidth,0
macd_fast3_slow26_signal5_hist_lag1,0
bb_30_2.5_bandwidth,0
macd_fast10_slow21_signal3_hist_delta,0
macd_fast12_slow26_signal3_hist_delta,0
